id,region,country,subnat_region
2776,Kamwenge,Uganda,Kamwenge
2779,Kamalia,Pakistan,Punjab
2781,Telavi,Georgia,Telavi
2791,Kvitiri,Georgia,Batumi
2796,Dmanisi,Georgia,Dmanisi
2806,Bududa,Uganda,Bududa
2813,"San Isidro, Jimenez",Philippines,Calamba Mis. Occ. Misamis Occidental Region
2825,Ta Khmao district,Cambodia,Krong Ta Khmau
2833,"Kampong Cham province, Ponhea Krek district",Cambodia,"Kampong Cham province, Ponhea Krek district"
2850,Konibodom,Tajikistan,Konibodom
2858,"Poblacion 3, Clarin, Misamis Occidental",Philippines,Misamis Occidental
2860,"Yeghegnadzor, Vayots Dzor region",Armenia,"Yeghegnadzor, Vayots Dzor region"
2877,"Lopez Jaena, Misamis  Occidental",Philippines,Misamis Occidental
2880,Manafwa,Uganda,Manafwa
2885,Suluu - Maimak village,Kyrgyzstan,Suluu - Maimak village
2892,Okara,Pakistan,Punjab
2893,Sheikhupura,Pakistan,Punjab
2894,Kumsangir,Tajikistan,Kumsangir
2900,Bohtar,Tajikistan,Bohtar
2901,Vinogradovo,Ukraine,Zakarpats'ka oblast
2908,,Mexico,
2909,Khoost,Ukraine,Ukraine
2910,Encarnación,Paraguay,Encarnación
2922,Quetzaltenango,Guatemala,Quetzaltenango
2924,Kabeerwala,Pakistan,Punjab
2928,"Obay, Polanco, Zamboanga Del Norte",Philippines,Zamboanga del Norte
